age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,dependents,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,max_monthly_emi,emi_eligibility
55,Female,Married,High School,25600.0,Private,8.7,Government,Rented,7600.0,8,6,1400.0,13280.0,870.0,10850.0,1290.0,Yes,2900.0,706.0,19900.0,68100.0,Vehicle EMI,517200.0,47,500.0,Not_Eligible
54,Female,Single,Post Graduate,50600.0,Government,14.3,MNC,Family,0.0,4,2,3970.0,14930.0,2100.0,7820.0,2070.0,Yes,8400.0,534.0,133300.0,150700.0,Home Appliances EMI,102300.0,32,5930.0,Not_Eligible
34,Female,Married,Post Graduate,55700.0,Private,7.1,MNC,Family,0.0,8,6,5780.0,5040.0,2020.0,15560.0,4290.0,Yes,9900.0,641.0,143700.0,86900.0,Personal Loan EMI,257300.0,34,6730.0,High_Risk
47,Female,Single,Graduate,67800.0,Government,15.0,SME,Own,0.0,6,5,7390.0,14600.0,4660.0,10270.0,5650.0,No,0.0,617.0,38700.0,179000.0,Home Appliances EMI,151100.0,32,12880.0,High_Risk
30,Female,Married,Post Graduate,38600.0,Private,3.9,SME,Own,0.0,2,0,0.0,0.0,2700.0,5290.0,3530.0,No,0.0,593.0,231300.0,2300.0,E-commerce Shopping EMI,53800.0,11,12540.0,High_Risk
52,Female,Married,Post Graduate,53200.0,Private,24.4,Startup,Family,0.0,8,6,380.0,4030.0,1760.0,11790.0,2090.0,No,0.0,731.0,152800.0,100600.0,Vehicle EMI,712800.0,18,24580.0,Not_Eligible
50,Female,Married,High School,31300.0,Government,25.0,MNC,Own,0.0,7,6,7290.0,8960.0,1910.0,9240.0,2960.0,No,0.0,430.0,92200.0,48300.0,E-commerce Shopping EMI,188500.0,8,500.0,Not_Eligible
37,Male,Single,High School,69100.0,Private,7.5,SME,Own,0.0,5,3,2890.0,13200.0,4630.0,15060.0,6660.0,Yes,9700.0,623.0,385500.0,164100.0,Education EMI,191800.0,34,9040.0,High_Risk
27,Female,Single,Graduate,49900.0,Private,1.8,Startup,Own,0.0,2,1,1650.0,0.0,2530.0,8770.0,3030.0,Yes,7300.0,651.0,264000.0,60400.0,Vehicle EMI,1239300.0,20,13510.0,Not_Eligible
59,Male,Married,High School,84000.0,Private,11.1,Startup,Own,0.0,6,5,7350.0,14580.0,4590.0,12030.0,6880.0,Yes,15400.0,616.0,330800.0,244400.0,Vehicle EMI,163900.0,38,10810.0,High_Risk
41,Male,Single,Post Graduate,40600.0,Government,16.5,Government,Family,0.0,5,3,1340.0,1370.0,1340.0,8670.0,1460.0,No,0.0,587.0,32300.0,62400.0,Education EMI,363600.0,7,14870.0,Not_Eligible
57,Female,Married,Graduate,61600.0,Private,12.7,Startup,Rented,13700.0,7,5,6120.0,8500.0,1540.0,12320.0,5750.0,Yes,8900.0,544.0,366600.0,150900.0,Home Appliances EMI,210900.0,30,2260.0,Not_Eligible
49,Male,Married,Graduate,49900.0,Private,7.9,Startup,Own,0.0,7,6,1790.0,13160.0,3730.0,13470.0,2350.0,Yes,9400.0,459.0,200400.0,39400.0,Home Appliances EMI,22600.0,10,2210.0,Not_Eligible
53,Male,Married,Professional,66700.0,Private,10.8,Government,Own,0.0,2,1,6630.0,0.0,4790.0,12590.0,1950.0,No,0.0,521.0,198500.0,44200.0,Personal Loan EMI,659500.0,14,19700.0,Not_Eligible
52,Male,Single,Post Graduate,43800.0,Private,8.3,Startup,Own,0.0,1,0,0.0,0.0,2780.0,8450.0,3260.0,Yes,10400.0,670.0,203400.0,36600.0,Vehicle EMI,1023900.0,51,10920.0,Not_Eligible
32,Female,Married,Graduate,45900.0,Self-employed,6.2,MNC,Own,0.0,3,1,7470.0,0.0,2210.0,8790.0,2730.0,No,0.0,585.0,62300.0,96000.0,Vehicle EMI,1225500.0,68,14110.0,Not_Eligible
38,Female,Married,Professional,80100.0,Self-employed,5.9,MNC,Own,0.0,4,3,1560.0,12090.0,2690.0,13940.0,1960.0,No,0.0,642.0,227900.0,65600.0,Vehicle EMI,340400.0,70,26350.0,High_Risk
41,Female,Married,Graduate,62600.0,Self-employed,12.2,Startup,Family,0.0,3,2,1350.0,5530.0,1510.0,11920.0,2900.0,Yes,11700.0,622.0,215900.0,36100.0,Personal Loan EMI,227800.0,59,17900.0,High_Risk
42,Male,Married,Graduate,38300.0,Private,16.3,Government,Own,0.0,5,4,1500.0,11210.0,1940.0,8030.0,1500.0,No,0.0,777.0,118700.0,62900.0,Personal Loan EMI,545400.0,31,9750.0,Not_Eligible
26,Female,Single,Professional,91500.0,Self-employed,1.2,Startup,Rented,18300.0,1,0,0.0,0.0,2060.0,14900.0,3370.0,No,0.0,610.0,433200.0,123100.0,E-commerce Shopping EMI,159300.0,12,22410.0,High_Risk
44,Female,Married,High School,59400.0,Private,8.2,MNC,Rented,7200.0,5,3,7790.0,11410.0,2090.0,8830.0,3400.0,Yes,7400.0,568.0,33900.0,62800.0,Personal Loan EMI,887400.0,50,5370.0,Not_Eligible
30,Male,Single,Graduate,55200.0,Private,6.5,Startup,Rented,7800.0,7,5,5020.0,2290.0,4190.0,12830.0,5450.0,Yes,12700.0,697.0,212800.0,13700.0,Home Appliances EMI,253100.0,23,2740.0,Not_Eligible
51,Male,Single,Professional,34400.0,Government,17.0,Startup,Family,0.0,7,5,6360.0,5940.0,1280.0,9240.0,2820.0,No,0.0,589.0,202100.0,1900.0,E-commerce Shopping EMI,60700.0,9,5250.0,Not_Eligible
49,Female,Single,Professional,70100.0,Self-employed,9.2,MNC,Rented,11500.0,5,4,1040.0,9350.0,1460.0,13320.0,3970.0,Yes,8100.0,660.0,375300.0,177400.0,Personal Loan EMI,58800.0,26,12210.0,Eligible
58,Male,Married,Graduate,42500.0,Private,19.7,Government,Family,0.0,6,4,2060.0,10550.0,2790.0,10050.0,880.0,No,0.0,700.0,250700.0,36000.0,Education EMI,335600.0,9,11480.0,Not_Eligible
51,Female,Single,Post Graduate,54700.0,Self-employed,12.7,Government,Own,0.0,2,0,0.0,0.0,4030.0,10310.0,3030.0,No,0.0,670.0,300500.0,107200.0,E-commerce Shopping EMI,53500.0,10,24520.0,Eligible
38,Male,Single,Graduate,41700.0,Private,7.0,MNC,Own,0.0,6,5,290.0,11570.0,1510.0,9150.0,1970.0,No,0.0,791.0,104900.0,49200.0,Vehicle EMI,483800.0,20,9470.0,Not_Eligible
59,Female,Married,Post Graduate,31000.0,Private,15.1,MNC,Own,0.0,8,6,1940.0,8230.0,1070.0,10950.0,1390.0,No,0.0,591.0,21300.0,53300.0,Home Appliances EMI,226000.0,16,3890.0,Not_Eligible
39,Male,Married,High School,58900.0,Self-employed,12.4,MNC,Rented,8800.0,3,1,3800.0,0.0,2530.0,12200.0,5630.0,No,0.0,652.0,313700.0,163200.0,E-commerce Shopping EMI,160200.0,15,18250.0,Eligible
36,Female,Married,High School,48900.0,Private,11.7,MNC,Own,0.0,2,0,0.0,0.0,2030.0,7980.0,4700.0,Yes,4700.0,739.0,68200.0,81200.0,Vehicle EMI,154600.0,54,19480.0,Eligible
57,Female,Married,Graduate,50000.0,Self-employed,19.8,Government,Family,0.0,8,6,270.0,8990.0,1480.0,15030.0,3250.0,No,0.0,711.0,135300.0,68300.0,Personal Loan EMI,136900.0,21,13150.0,Eligible
38,Male,Married,Graduate,71000.0,Private,14.0,MNC,Rented,19700.0,6,5,7300.0,14000.0,1560.0,13450.0,4200.0,No,0.0,724.0,132300.0,10300.0,Home Appliances EMI,186600.0,17,7230.0,Not_Eligible
27,Male,Single,Professional,60800.0,Government,1.2,SME,Rented,11000.0,1,0,0.0,0.0,4090.0,10530.0,2490.0,No,0.0,578.0,279400.0,111400.0,Education EMI,460900.0,27,14660.0,Not_Eligible
41,Male,Single,Post Graduate,44700.0,Self-employed,12.0,Startup,Rented,9600.0,5,4,1690.0,6090.0,3400.0,8500.0,3660.0,No,0.0,616.0,130000.0,83400.0,Vehicle EMI,1245500.0,61,7550.0,Not_Eligible
53,Female,Married,Graduate,93600.0,Private,27.3,Government,Own,0.0,6,5,7930.0,1110.0,4330.0,19780.0,6710.0,Yes,5800.0,693.0,459100.0,69400.0,Home Appliances EMI,243900.0,22,33060.0,Eligible
31,Female,Married,Graduate,67100.0,Government,2.4,MNC,Rented,13200.0,6,4,110.0,2750.0,3030.0,14560.0,3590.0,Yes,10200.0,683.0,225400.0,66700.0,Education EMI,292900.0,18,10360.0,Not_Eligible
41,Female,Single,Post Graduate,53500.0,Private,5.0,Government,Rented,9000.0,2,0,0.0,0.0,2460.0,8690.0,1990.0,Yes,6600.0,612.0,214600.0,6000.0,Vehicle EMI,295900.0,52,11170.0,High_Risk
29,Male,Single,Post Graduate,50400.0,Government,5.4,SME,Rented,5200.0,2,1,2370.0,0.0,2440.0,8650.0,1790.0,No,0.0,806.0,247700.0,55600.0,Education EMI,295600.0,42,18240.0,Eligible
49,Female,Married,Graduate,79200.0,Private,7.1,Startup,Rented,11900.0,6,4,7970.0,7750.0,5350.0,15100.0,2850.0,No,0.0,592.0,346700.0,84300.0,E-commerce Shopping EMI,122300.0,9,13940.0,High_Risk
42,Male,Married,High School,43200.0,Government,8.1,SME,Own,0.0,4,2,5910.0,3650.0,2330.0,7300.0,1090.0,No,0.0,600.0,190700.0,58600.0,E-commerce Shopping EMI,15600.0,12,12040.0,High_Risk
36,Male,Married,High School,66200.0,Private,10.9,MNC,Rented,11700.0,6,4,7890.0,9760.0,4070.0,14140.0,6130.0,No,0.0,605.0,150400.0,109900.0,Education EMI,321500.0,10,6900.0,Not_Eligible
33,Male,Married,Graduate,37900.0,Self-employed,9.0,Government,Own,0.0,3,2,5310.0,1750.0,1040.0,8790.0,1520.0,No,0.0,796.0,218900.0,45800.0,Personal Loan EMI,80600.0,38,13800.0,Eligible
45,Female,Married,Post Graduate,88100.0,Self-employed,12.5,Startup,Own,0.0,4,2,620.0,6990.0,1860.0,17710.0,7300.0,Yes,15500.0,412.0,513400.0,58600.0,Home Appliances EMI,259200.0,16,15520.0,Not_Eligible
49,Female,Married,Post Graduate,56200.0,Private,23.7,Startup,Rented,14700.0,1,0,0.0,0.0,2810.0,10090.0,2210.0,No,0.0,511.0,158500.0,65700.0,Home Appliances EMI,53500.0,24,13470.0,Not_Eligible
58,Female,Single,Graduate,67500.0,Self-employed,10.2,MNC,Rented,6800.0,8,6,2850.0,15000.0,3720.0,17900.0,4670.0,No,0.0,560.0,382800.0,46800.0,Education EMI,334000.0,35,8440.0,High_Risk
40,Female,Married,Professional,60300.0,Government,12.7,Startup,Rented,6100.0,3,2,6630.0,12090.0,1620.0,11970.0,1650.0,No,0.0,640.0,32800.0,158900.0,Vehicle EMI,1327800.0,60,13100.0,Not_Eligible
30,Female,Married,High School,33600.0,Private,3.3,Startup,Family,0.0,6,4,2490.0,8530.0,840.0,7720.0,2470.0,Yes,5000.0,419.0,152200.0,67200.0,E-commerce Shopping EMI,154600.0,14,2250.0,Not_Eligible
54,Female,Married,High School,61600.0,Government,22.1,Government,Own,0.0,8,6,6870.0,2040.0,2600.0,16360.0,2800.0,No,0.0,785.0,230200.0,114700.0,Education EMI,435800.0,34,23770.0,Eligible
47,Male,Married,Graduate,48800.0,Self-employed,6.9,MNC,Family,0.0,5,4,4250.0,12020.0,1240.0,12040.0,4160.0,Yes,5000.0,728.0,262900.0,92300.0,Home Appliances EMI,161800.0,28,5140.0,High_Risk
50,Male,Single,High School,30100.0,Private,8.2,MNC,Own,0.0,2,0,0.0,0.0,990.0,6450.0,2220.0,No,0.0,643.0,109700.0,52500.0,E-commerce Shopping EMI,47100.0,7,9920.0,High_Risk
28,Male,Married,Graduate,41700.0,Government,2.5,SME,Own,0.0,1,0,0.0,0.0,1070.0,7100.0,2040.0,Yes,7900.0,653.0,66600.0,32900.0,Personal Loan EMI,741500.0,51,11730.0,Not_Eligible
36,Male,Married,Graduate,37200.0,Private,10.4,Startup,Own,0.0,4,3,1940.0,10270.0,1130.0,9280.0,1450.0,Yes,4900.0,585.0,193900.0,21300.0,Personal Loan EMI,595800.0,20,4600.0,Not_Eligible
52,Female,Married,High School,82900.0,Private,20.4,Government,Own,0.0,7,6,3240.0,13630.0,6560.0,12320.0,8220.0,Yes,11700.0,638.0,52600.0,86500.0,Vehicle EMI,378500.0,63,16030.0,High_Risk
54,Male,Married,High School,54100.0,Private,7.6,Startup,Family,0.0,8,6,3910.0,240.0,4030.0,11880.0,3250.0,No,0.0,707.0,136000.0,145000.0,Education EMI,348400.0,26,17790.0,Eligible
40,Male,Married,High School,61200.0,Private,8.5,Government,Rented,14400.0,1,0,0.0,0.0,2490.0,10210.0,5240.0,Yes,14900.0,599.0,143300.0,78200.0,Personal Loan EMI,236000.0,21,7630.0,Not_Eligible
53,Female,Single,Graduate,73300.0,Private,11.5,MNC,Rented,12900.0,7,5,6190.0,12100.0,3230.0,18010.0,2240.0,No,0.0,649.0,123600.0,189400.0,Vehicle EMI,1365100.0,63,11450.0,Not_Eligible
55,Male,Single,Post Graduate,40700.0,Private,6.9,SME,Own,0.0,2,1,190.0,0.0,1690.0,5180.0,2880.0,No,0.0,559.0,225100.0,83500.0,Education EMI,72500.0,6,14720.0,High_Risk
38,Male,Married,High School,59000.0,Self-employed,10.7,MNC,Own,0.0,7,5,4910.0,14530.0,2060.0,15760.0,4050.0,No,0.0,687.0,335800.0,11300.0,Vehicle EMI,828600.0,12,11510.0,Not_Eligible
57,Female,Married,Post Graduate,56900.0,Self-employed,27.8,Government,Own,0.0,8,6,1540.0,6460.0,2700.0,15560.0,4270.0,Yes,9400.0,475.0,115000.0,156600.0,Vehicle EMI,223900.0,70,9690.0,Not_Eligible
35,Female,Married,Graduate,34200.0,Private,10.9,Government,Rented,4300.0,8,6,7990.0,760.0,1470.0,11510.0,1830.0,No,0.0,521.0,197400.0,22400.0,Vehicle EMI,998000.0,56,2900.0,Not_Eligible
33,Female,Married,Graduate,57800.0,Private,2.8,Government,Own,0.0,2,0,0.0,0.0,2090.0,8730.0,4650.0,No,0.0,710.0,35700.0,33100.0,Education EMI,344400.0,45,22390.0,Eligible
49,Male,Single,Graduate,52900.0,Government,21.2,Startup,Own,0.0,3,1,3530.0,0.0,1830.0,8340.0,4350.0,No,0.0,585.0,265000.0,86800.0,Vehicle EMI,508400.0,35,20130.0,High_Risk
47,Female,Married,High School,80600.0,Private,6.7,SME,Rented,12900.0,2,1,2040.0,0.0,3290.0,9140.0,8060.0,No,0.0,751.0,293200.0,166600.0,Vehicle EMI,907400.0,34,29610.0,High_Risk
30,Female,Married,Post Graduate,36200.0,Private,5.5,MNC,Rented,5700.0,7,5,660.0,13640.0,1400.0,9230.0,2600.0,No,0.0,520.0,108000.0,108600.0,Home Appliances EMI,79900.0,19,1400.0,Not_Eligible
54,Female,Married,Graduate,90300.0,Self-employed,17.2,SME,Family,0.0,6,5,70.0,14800.0,6470.0,17460.0,4650.0,No,0.0,771.0,499500.0,93100.0,Education EMI,130300.0,26,33350.0,Eligible
32,Female,Married,Graduate,44900.0,Government,6.4,SME,Rented,6500.0,2,0,0.0,0.0,2630.0,7960.0,2930.0,Yes,4700.0,792.0,139300.0,7000.0,Education EMI,430600.0,13,13240.0,Not_Eligible
53,Female,Single,Graduate,66900.0,Private,23.9,MNC,Rented,17800.0,2,1,3060.0,0.0,3330.0,12520.0,1560.0,Yes,8400.0,693.0,254000.0,93000.0,Education EMI,320700.0,23,15360.0,High_Risk
25,Female,Single,Graduate,36700.0,Private,2.6,SME,Own,0.0,3,2,700.0,14110.0,2680.0,5650.0,1080.0,No,0.0,636.0,108200.0,36600.0,Home Appliances EMI,195500.0,11,5870.0,Not_Eligible
53,Male,Single,Graduate,163300.0,Private,16.5,Startup,Family,0.0,4,3,7600.0,10160.0,12870.0,31720.0,5000.0,No,0.0,647.0,877600.0,245200.0,Home Appliances EMI,93800.0,6,50000.0,High_Risk
53,Female,Single,Graduate,57900.0,Private,6.4,Startup,Own,0.0,1,0,0.0,0.0,4630.0,6670.0,3120.0,No,0.0,640.0,279500.0,172900.0,E-commerce Shopping EMI,10000.0,12,21020.0,High_Risk
53,Female,Married,High School,37700.0,Private,23.0,MNC,Rented,8300.0,4,3,2220.0,12570.0,1300.0,7270.0,1490.0,No,0.0,645.0,92900.0,60400.0,Home Appliances EMI,237400.0,12,2770.0,Not_Eligible
48,Female,Married,Professional,57400.0,Government,21.6,SME,Rented,10000.0,1,0,0.0,0.0,3930.0,5880.0,2760.0,No,0.0,850.0,267600.0,131100.0,Home Appliances EMI,255400.0,12,27100.0,Eligible
41,Female,Single,High School,31600.0,Private,11.2,MNC,Own,0.0,8,6,6470.0,7410.0,660.0,9010.0,2550.0,No,0.0,732.0,56100.0,63900.0,Education EMI,425400.0,41,3840.0,Not_Eligible
50,Female,Married,Professional,70900.0,Private,10.1,MNC,Family,0.0,1,0,0.0,0.0,2910.0,9350.0,5240.0,No,0.0,634.0,366100.0,1100.0,Home Appliances EMI,158800.0,19,34060.0,High_Risk
34,Female,Single,Professional,41600.0,Self-employed,8.4,Startup,Own,0.0,3,2,5920.0,11940.0,2130.0,5850.0,1230.0,Yes,8300.0,579.0,186400.0,96700.0,Education EMI,471400.0,37,3000.0,Not_Eligible
53,Male,Married,Professional,60000.0,Self-employed,10.7,MNC,Family,0.0,1,0,0.0,0.0,3640.0,5600.0,2450.0,No,0.0,581.0,215400.0,67800.0,Education EMI,360200.0,9,26560.0,Not_Eligible
45,Male,Married,Professional,46400.0,Self-employed,11.4,Government,Own,0.0,8,6,7330.0,10360.0,3210.0,14310.0,2620.0,Yes,10200.0,489.0,126200.0,132100.0,E-commerce Shopping EMI,76800.0,19,500.0,Not_Eligible
41,Female,Single,Post Graduate,88800.0,Private,14.5,SME,Own,0.0,6,4,280.0,880.0,4050.0,19630.0,2650.0,No,0.0,789.0,526600.0,73800.0,Vehicle EMI,169900.0,12,50000.0,Eligible
43,Female,Single,Graduate,91700.0,Private,6.0,Startup,Own,0.0,5,4,3480.0,14140.0,5340.0,18010.0,7590.0,No,0.0,648.0,93600.0,255300.0,E-commerce Shopping EMI,27600.0,4,23830.0,High_Risk
45,Female,Single,Graduate,52500.0,Private,10.9,MNC,Family,0.0,7,6,4870.0,14290.0,1440.0,11410.0,3710.0,No,0.0,768.0,112700.0,74300.0,Vehicle EMI,1103200.0,19,10030.0,Not_Eligible
26,Male,Single,Post Graduate,56200.0,Government,3.2,MNC,Family,0.0,3,1,730.0,0.0,3470.0,11130.0,3500.0,No,0.0,674.0,121500.0,85500.0,Education EMI,495500.0,12,22100.0,Not_Eligible
30,Male,Married,Graduate,49900.0,Private,2.8,Government,Family,0.0,1,0,0.0,0.0,1480.0,6220.0,4530.0,No,0.0,766.0,235600.0,55100.0,Vehicle EMI,859300.0,77,23920.0,Eligible
33,Male,Single,High School,42200.0,Private,3.8,MNC,Rented,10800.0,6,4,270.0,5900.0,1210.0,12390.0,1910.0,Yes,6800.0,790.0,205400.0,96300.0,Education EMI,261100.0,37,1880.0,Not_Eligible
